[Performance Sweep]
Speed (m/s),Flight Time (min),Range (km),Power Fwd (W),Power Hov (W),Thrust Fwd (N),Thrust Hov (N),Disk Loading (N/m²),Hover Wind Resistance (m/s),Prop Solidity (σ)
10.3,28.30083723756244,17.48991741281359,1112.8643114212744,1119.9317810628384,162.04928105637563,170.26167307786636,82.50120433822056,48.64055870336398,0.1400563499208679
10.3875,28.37061041104315,17.681982938682637,1109.9004468844619,1113.8540406638542,162.05561955138256,170.40494096599065,82.50120433822056,48.64055870336398,0.1400563499208679
10.475,28.437359830485992,17.872880653460445,1107.078637727484,1107.8509500461546,162.06212000755988,170.54942078791177,82.50120433822056,48.64055870336398,0.1400563499208679
10.5625,28.50103842084408,18.062533099209936,1104.3989645355894,1101.9221271940553,162.06878514954664,170.6951125436297,82.50120433822056,48.64055870336398,0.1400563499208679
10.65,28.561601601850434,18.250863423582427,1101.861476400228,1096.0671573826676,162.07561772405464,170.84201623314448,82.50120433822056,48.64055870336398,0.1400563499208679
10.7375,28.619007318706583,18.437795465076718,1099.4661934262617,1090.2855953518492,162.08262049983568,170.99013185645606,82.50120433822056,48.64055870336398,0.1400563499208679
10.825,28.67321607305464,18.62325383944899,1097.2131089776276,1084.4703651422365,162.08979626764827,171.13945941356445,82.50120433822056,48.64055870336398,0.1400563499208679
10.9125,28.724190932963243,18.80716401335768,1095.1021925451457,1078.7136505031726,162.09714784022316,171.28999890446968,82.50120433822056,48.64055870336398,0.1400563499208679
11.0,28.771897574426585,18.989452399121546,1093.1333910569929,1073.0294310680283,162.10467805222828,171.44175032917173,82.50120433822056,48.64055870336398,0.1400563499208679
11.0875,28.816304285147986,19.170046425694697,1091.306631510848,1067.4171541143462,162.11238976023276,171.5947136876706,82.50120433822056,48.64055870336398,0.1400563499208679
11.175,28.857381981909672,19.348874618870436,1089.6218227960417,1061.8762467162087,162.12028584267017,171.7488889799663,82.50120433822056,48.64055870336398,0.1400563499208679
11.2625,28.89510422122993,19.525866677496126,1088.0788575527997,1056.4061175507395,162.12836919980074,171.9042762060588,82.50120433822056,48.64055870336398,0.1400563499208679
11.35,28.929447206645396,19.70095354772551,1086.6776139322426,1051.0061586174595,162.1366427536729,172.06087536594814,82.50120433822056,48.64055870336398,0.1400563499208679
11.4375,28.960389792617352,19.874067495183656,1085.417957260162,1045.6757468725175,162.1451094480837,172.2186864596343,82.50120433822056,48.64055870336398,0.1400563499208679
11.525,28.98791348506532,20.04514217492267,1084.2997416077055,1040.4142457799874,162.15377224853867,172.37770948711727,82.50120433822056,48.64055870336398,0.1400563499208679
11.6125,29.01200243853652,20.21411269905032,1083.3228112721772,1035.2210067825365,162.1626341422104,172.53794444839707,82.50120433822056,48.64055870336398,0.1400563499208679
11.7,29.032643450024306,20.380915701917065,1082.4870021712313,1030.0953706938872,162.17169813789636,172.6993913434737,82.50120433822056,48.64055870336398,0.1400563499208679
11.7875,29.049825949454778,20.545489402751894,1081.792143153766,1025.0366690155497,162.18096726597582,172.86205017234715,82.50120433822056,48.64055870336398,0.1400563499208679
11.875,29.063541986866966,20.707773665642712,1081.23805723081,1020.0442250144273,162.19044457836586,173.0259209350174,82.50120433822056,48.64055870336398,0.1400563499208679
11.9625,29.07378621631733,20.867710056761762,1080.8245627297283,1015.1173555511458,162.2001331484761,173.1910036314845,82.50120433822056,48.64055870336398,0.1400563499208679
12.05,29.080555880138146,21.02524190133988,1080.5514742301539,1010.2553712147464,162.21003607116288,173.3572982617484,82.50120433822056,48.64055870336398,0.1400563499208679
12.1375,29.08385077219985,21.18031432485454,1080.4186041477587,1005.4575780009409,162.22015646268224,173.52480482580916,82.50120433822056,48.64055870336398,0.1400563499208679
12.225,29.083673233322543,21.332874316642084,1080.4257628275134,1000.7232781314523,162.23049746064174,173.6935233236667,82.50120433822056,48.64055870336398,0.1400563499208679
12.3125,29.080028108620127,21.482870765243117,1080.5727599842287,996.0517709708105,162.2410622239517,173.86345375532107,82.50120433822056,48.64055870336398,0.1400563499208679
12.4,29.07292271915881,21.630254503054157,1080.8594053829042,991.4423538855581,162.25185393277494,174.03459612077228,82.50120433822056,48.64055870336398,0.1400563499208679
12.4875,29.062366827228423,21.774978345300898,1081.2855095999194,986.8943230483976,162.26287578847578,174.2069504200203,82.50120433822056,48.64055870336398,0.1400563499208679
12.575,29.0483725987397,21.916997125749102,1081.8508847293313,982.406974189747,162.27413101356788,174.38051665306514,82.50120433822056,48.64055870336398,0.1400563499208679
12.6625,29.030954562832072,22.056267729111667,1082.5553450370696,977.979603299142,162.28562285166106,174.5552948199068,82.50120433822056,48.64055870336398,0.1400563499208679
12.75,29.010129568781345,22.19274912011773,1083.3987075657676,973.6115072788442,162.297354567407,174.73128492054528,82.50120433822056,48.64055870336398,0.1400563499208679
12.8375,28.9859167403038,22.326402369219004,1084.3807926928462,969.3019845519617,162.30932944644385,174.9084869549806,82.50120433822056,48.64055870336398,0.1400563499208679
12.925,28.95833742735836,22.457190674916408,1085.5014246443966,965.0503356273198,162.32155079533982,175.0869009232127,82.50120433822056,48.64055870336398,0.1400563499208679
